local_timestamp,rssi,tmag_x,tmag_y,tmag_z
846203678,-56,-304,-464,112
846203820,-55,-304,-464,112
846203908,-56,-304,-464,112
846204052,-55,-128,-368,112
846204178,-55,-128,-368,112
846204322,-55,-256,-400,32
846204458,-56,-256,-400,32
846204581,-56,-336,-384,-16
846204730,-56,-336,-384,-16
846204817,-55,-336,-384,-16
846204942,-56,-288,-544,0
846206907,-56,-256,-448,80
846207008,-55,-240,-544,112
846207101,-55,-240,-544,112
846207184,-56,-240,-544,112
846207268,-56,-240,-544,112
846207378,-56,-432,-528,32
846207494,-55,-432,-528,32
846207618,-56,-272,-576,64
846207761,-56,-272,-576,64
846207861,-56,-272,-576,64
846208114,-56,-272,-544,64
846208240,-56,-288,-512,32
846208374,-56,-288,-512,32
846208497,-56,-128,-416,80
846208617,-56,-128,-416,80
846208716,-56,-128,-416,80
846208843,-56,-320,-560,112
846208978,-56,-320,-560,112
846212510,-72,-256,-416,160
846213043,-56,-64,-608,96
846213203,-56,-256,-528,16
846213328,-56,-256,-528,16
846213563,-56,-384,-320,32
846213660,-56,-384,-320,32
846213763,-56,-304,-608,96
846213882,-56,-304,-608,96
846213992,-56,-304,-608,96
846214349,-56,-288,-576,96
846214478,-56,-288,-576,96
846214546,-56,-288,-576,96
846214653,-56,-272,-496,80
846214755,-56,-272,-496,80
846214837,-56,-272,-496,80
846214959,-56,-384,-576,96
846215100,-56,-384,-576,96
846215220,-56,-384,-576,96
846215735,-56,-288,-592,32
846215845,-56,-240,-384,64
846215973,-56,-240,-384,64
846216044,-56,-240,-384,64
846216151,-56,-352,-432,96
846216264,-56,-352,-432,96
846216351,-56,-352,-432,96
846216482,-56,-192,-528,-16
846216621,-56,-192,-528,-16
846216748,-56,-352,-544,-32
846216899,-56,-352,-544,-32
846217023,-56,-224,-384,112
846217142,-56,-224,-384,112
846217244,-56,-224,-384,112
846217373,-56,-288,-336,128
846217515,-56,-288,-336,128
846217643,-56,-160,-480,144
846217788,-56,-160,-480,144
846217997,-56,-208,-672,48
846218121,-56,-208,-672,48
846218389,-56,-208,-608,32
846218517,-56,-144,-592,64
846218646,-56,-144,-592,64
846218740,-56,-144,-592,64
846218872,-56,-352,-496,80
846219004,-56,-352,-496,80
846219135,-56,-288,-496,-16
846219291,-56,-288,-496,-16
846219391,-56,-288,-496,-16
846219522,-56,-224,-384,64
846219632,-56,-224,-384,64
846219770,-56,-160,-528,16
846219900,-56,-160,-528,16
846220023,-56,-208,-464,96
846220142,-56,-208,-464,96
846220248,-56,-208,-464,96
846220359,-56,-368,-544,16
846220488,-56,-368,-544,16
846220570,-56,-368,-544,16
846220830,-56,-400,-640,48
846220947,-56,-320,-496,144
846221061,-56,-320,-496,144
846221144,-56,-320,-496,144
846221248,-56,-384,-416,32
846221376,-56,-384,-416,32
846221455,-56,-384,-416,32
846221564,-56,-288,-464,-32
846221679,-56,-288,-464,-32
846221766,-56,-288,-464,-32
846224087,-56,-256,-384,48
846224157,-56,-256,-384,48
846224275,-56,-336,-448,32
846224393,-56,-336,-448,32
846224471,-56,-336,-448,32
846224576,-56,-192,-576,128
846224718,-56,-192,-576,128
846224844,-56,-304,-464,0
846224964,-56,-304,-464,0
846225066,-56,-304,-464,0
846225197,-56,-192,-528,80
846225336,-56,-192,-528,80
846225452,-56,-352,-512,48
846225591,-56,-352,-512,48
846225696,-56,-352,-512,48
846225825,-56,-192,-624,48
846225950,-56,-192,-624,48
846226076,-56,-208,-480,112
846226213,-56,-208,-480,112
846226345,-56,-208,-480,112
846226472,-56,-160,-576,64
846226573,-56,-160,-576,64
846226704,-56,-128,-512,32
846226846,-56,-128,-512,32
846226985,-56,-240,-496,112
846227134,-56,-240,-496,112
846227221,-56,-240,-496,112
846227353,-56,-320,-432,16
846227487,-56,-320,-432,16
846227615,-56,-304,-448,64
846227766,-56,-304,-448,64
846227967,-56,-400,-528,96
846228081,-56,-400,-528,96
846228207,-56,-320,-560,64
846228345,-56,-320,-560,64
846228476,-56,-320,-560,64
846228594,-56,-80,-480,64
846228685,-56,-80,-480,64
846228793,-56,-352,-576,48
846228917,-56,-352,-576,48
846228998,-56,-352,-576,48
846229118,-56,-192,-320,96
846229246,-56,-192,-320,96
846229340,-56,-192,-320,96
846229438,-56,-112,-368,32
846229563,-56,-112,-368,32
846229733,-56,-160,-464,96
846229849,-56,-160,-464,96
846229937,-56,-160,-464,96
846232515,-56,-144,-576,0
846232607,-56,-144,-576,0
846232713,-56,-240,-400,48
846232813,-56,-240,-400,48
846232896,-56,-240,-400,48
846232998,-56,-208,-624,96
846233142,-56,-208,-624,96
846233227,-56,-208,-624,96
846233821,-56,-272,-528,48
846233930,-56,-320,-480,16
846234045,-56,-320,-480,16
846234119,-56,-320,-480,16
846234223,-56,-224,-528,48
846234338,-56,-224,-528,48
846234442,-56,-224,-528,48
846234565,-56,-240,-560,64
846234691,-56,-240,-560,64
846234819,-56,-208,-480,96
846234955,-56,-208,-480,96
846235091,-56,-272,-464,64
846235232,-56,-272,-464,64
846235339,-56,-272,-464,64
846235472,-56,-64,-576,96
846235594,-56,-64,-576,96
846235722,-56,-144,-432,80
846235857,-56,-144,-432,80
846235972,-56,-144,-432,80
846236091,-56,-256,-640,32
846236198,-56,-256,-640,32
846236336,-57,-144,-576,32
846236478,-56,-144,-576,32
846236603,-56,-240,-576,32
846236714,-56,-240,-576,32
846236822,-56,-240,-576,32
846236947,-56,-384,-544,144
846237075,-56,-384,-544,144
846237204,-56,-448,-528,32
846237349,-56,-448,-528,32
846237437,-56,-448,-528,32
846237576,-56,-448,-544,32
846237701,-56,-448,-544,32
846237822,-56,-160,-624,96
846237956,-56,-160,-624,96
846238080,-56,-160,-624,96
846238197,-56,-160,-576,80
846238298,-56,-160,-576,80
846238412,-56,-272,-640,128
846238538,-56,-272,-640,128
846238620,-56,-272,-640,128
846238735,-56,-256,-416,64
846238861,-56,-256,-416,64
846238972,-56,-256,-416,64
846239065,-56,-96,-544,32
846239211,-56,-96,-544,32
846239324,-56,-144,-512,80
846241726,-56,-80,-448,80
846241821,-57,-80,-448,80
846241900,-56,-80,-448,80
846242009,-56,-240,-576,112
846242119,-56,-240,-576,112
846242208,-56,-240,-576,112
846242337,-57,-144,-464,96
846242504,-56,-144,-464,96
846242634,-56,-256,-496,64
846242772,-56,-256,-496,64
846242982,-56,-176,-416,80
846243096,-56,-176,-416,80
846243223,-56,-160,-592,96
846243371,-56,-160,-592,96
846243499,-56,-208,-560,0
846243617,-56,-208,-560,0
846243717,-56,-208,-560,0
846243853,-56,-192,-560,80
846243993,-56,-192,-560,80
846244124,-56,-256,-576,0
846244247,-56,-256,-576,0
846244348,-56,-256,-576,0
846244480,-56,-288,-560,16
846244622,-56,-288,-560,16
846244741,-56,-288,-448,32
846244876,-56,-288,-448,32
846244968,-56,-288,-448,32
846245109,-56,-368,-480,48
846245233,-56,-368,-480,48
846245374,-56,-224,-496,0
846245517,-56,-224,-496,0
846245724,-56,-256,-592,0
846245850,-56,-256,-592,0
846245983,-56,-64,-480,96
846246117,-56,-64,-480,96
846246239,-56,-128,-496,96
846246353,-56,-128,-496,96
846246448,-56,-128,-496,96
846246572,-56,-320,-544,32
846246699,-56,-320,-544,32
846246774,-56,-320,-544,32
846246889,-56,-352,-576,64
846247024,-56,-352,-576,64
846247099,-56,-352,-576,64
846247211,-56,-144,-400,64
846247331,-56,-144,-400,64
846247453,-56,-256,-480,64
846247557,-56,-256,-480,64
846247655,-56,-256,-480,64
846247782,-56,-144,-464,16
846247907,-57,-144,-464,16
846247988,-56,-144,-464,16
846248112,-56,-144,-576,32
846248240,-56,-144,-576,32
846248335,-56,-144,-576,32
846248445,-56,-224,-688,112
846248557,-56,-224,-688,112
846248668,-56,-256,-576,64
846248783,-56,-256,-576,64
846248873,-56,-256,-576,64
846248990,-57,-288,-576,96
846249112,-57,-288,-576,96
846249196,-56,-288,-576,96
846249305,-57,-96,-512,96
846249439,-56,-96,-512,96
846249547,-57,-96,-512,96
846249641,-56,-256,-656,0
846249750,-56,-256,-656,0
846249865,-56,-208,-528,32
846249968,-56,-208,-528,32
846250061,-56,-208,-528,32
846250189,-56,-288,-400,48
846250318,-56,-288,-400,48
846250393,-56,-288,-400,48
846253414,-56,-176,-416,32
846253523,-57,-256,-544,16
846253637,-56,-256,-544,16
846253705,-56,-256,-544,16
846253812,-56,-352,-384,96
846253928,-56,-352,-384,96
846254024,-56,-352,-384,96
846254166,-56,-192,-560,32
846254287,-56,-192,-560,32
846254424,-56,-288,-624,48
846254566,-56,-288,-624,48
846254770,-56,-144,-720,32
846254884,-56,-144,-720,32
846255004,-56,-192,-464,32
846255143,-56,-192,-464,32
846255265,-56,-192,-464,32
846255391,-56,-128,-400,48
846255492,-56,-128,-400,48
846255625,-56,-176,-448,64
846255767,-56,-176,-448,64
846255889,-56,-144,-528,32
846256044,-56,-144,-528,32
846256164,-56,-144,-528,32
846256282,-56,-96,-496,32
846256384,-56,-96,-496,32
846256519,-57,-160,-544,32
846256655,-56,-160,-544,32
846256778,-56,-208,-560,80
846256927,-56,-208,-560,80
846257020,-56,-208,-560,80
846257157,-56,-416,-512,32
846257282,-56,-416,-512,32
846257416,-56,-480,-544,0
846257552,-56,-480,-544,0
846257685,-56,-480,-544,0
846257812,-56,-320,-528,64
846257921,-56,-320,-528,64
846258024,-56,-320,-640,64
846258159,-56,-320,-640,64
846258246,-57,-320,-640,64
846258341,-56,-224,-432,48
846258459,-56,-224,-432,48
846258546,-56,-224,-432,48
846258656,-56,-256,-544,112
846258761,-56,-256,-544,112
846258850,-56,-256,-544,112
846261300,-56,-208,-528,32
846261384,-56,-16,-576,144
846261480,-56,-16,-576,144
846261550,-56,-16,-576,144
846261653,-56,-96,-448,-48
846261767,-56,-96,-448,-48
846261866,-56,-96,-448,-48
846261981,-56,-112,-608,160
846262095,-56,-112,-608,160
846263454,-56,-32,-640,112
846263836,-56,-272,-528,128
846264478,-56,-224,-304,96
846264581,-56,-224,-304,96
846266102,-56,-96,-480,48
846266234,-56,-192,-640,128
846266424,-56,-192,-640,128
846266547,-56,-272,-656,64
846266777,-56,-272,-656,64
846266884,-56,-208,-464,64
846267003,-56,-208,-464,64
846267091,-56,-208,-464,64
846267195,-56,-304,-464,64
846267285,-56,-304,-464,64
846267415,-56,-96,-576,96
846267939,-56,-384,-432,32
846268052,-56,-272,-448,160
846268150,-56,-272,-448,160
846268236,-56,-272,-448,160
846268338,-56,-128,-608,32
846268446,-56,-128,-608,32
846268557,-56,-128,-608,32
846269202,-56,-288,-528,48
846269296,-56,-208,-640,16
846269413,-57,-208,-640,16
846269495,-56,-208,-640,16
846269584,-56,-96,-480,48
846269725,-56,-96,-480,48
846270167,-56,-336,-624,64
846270264,-56,-336,-624,64
846270343,-56,-336,-624,64
846270451,-56,-336,-624,64
846270881,-56,-160,-592,-16
846271038,-56,-160,-592,-16
846271229,-56,-208,-480,144
846271579,-56,16,-480,64
846271787,-56,-256,-480,-48
846271972,-57,-64,-528,32
846273310,-56,-64,-496,64
846273441,-56,-64,-496,64
846273573,-56,-64,-496,64
846273704,-56,-64,-496,64
846273835,-56,-64,-496,64
846273966,-56,-64,-496,64
846274098,-56,-64,-496,64
846276134,-56,-256,-512,64
846276288,-56,-256,-512,64
846276821,-56,-96,-480,32
846276967,-56,-96,-480,32
846277205,-56,-240,-544,48
846277528,-56,-48,-384,32
846277682,-56,-48,-384,32
846277998,-56,-256,-656,144
846278329,-56,-96,-624,80
846279349,-56,-256,-464,64
846280247,-56,-64,-496,64
846280536,-56,-112,-576,48
846280690,-56,-112,-576,48
846280774,-56,-112,-576,48
846280934,-56,-112,-576,48
846281085,-56,-112,-576,48
846281188,-56,-112,-576,48
846281341,-56,-112,-576,48
846281444,-56,-112,-576,48
846281597,-56,-112,-576,48
846281686,-57,-112,-576,48
846281842,-56,-112,-576,48
846281914,-56,-112,-576,48
846282088,-56,-112,-576,48
846282220,-57,-112,-576,48
846282414,-56,-288,-624,0
846282722,-56,-288,-624,0
846282893,-56,-224,-608,64
846283129,-56,-192,-480,128
846283533,-56,-272,-608,0
846283699,-56,-208,-560,112
846283842,-56,-208,-560,112
846284121,-56,-336,-448,96
846284473,-56,-144,-528,64
846284627,-56,-192,-544,112
846284752,-57,-192,-544,112
846284983,-56,-128,-576,48
846285084,-57,-128,-576,48
846285247,-56,-224,-480,80
846285584,-56,-192,-544,32
846285690,-56,-192,-544,32
846285862,-57,-176,-592,0
846286171,-56,-240,-576,128
846286303,-56,-240,-576,128
846286403,-56,-240,-576,128
846286545,-56,-176,-432,80
846286612,-57,-176,-432,80
846286945,-56,-112,-384,48
846287050,-57,-96,-704,0
846287178,-57,-96,-704,0
846287259,-56,-96,-704,0
846287597,-57,-144,-480,64
846287681,-56,-144,-480,64
846287787,-56,-144,-480,64
846287886,-57,-96,-480,0
846287986,-57,-96,-480,0
846288324,-56,-224,-448,80
846288408,-56,-224,-448,80
846288504,-57,-160,-512,64
846288614,-57,-160,-512,64
846288689,-57,-160,-512,64
846288789,-57,-144,-432,48
846289251,-57,-272,-640,48
846289348,-56,-272,-640,48
846289454,-56,-160,-496,16
846289555,-57,-160,-496,16
846289643,-56,-160,-496,16
846289730,-57,-224,-624,64
846289858,-57,-224,-624,64
846292439,-56,-272,-432,64
846293613,-56,-96,-608,-16
846293767,-57,-96,-608,-16
846293897,-56,-96,-608,-16
846294029,-56,-96,-608,-16
846294183,-57,-32,-480,64
846294368,-57,-32,-480,64
