local_timestamp,rssi,tmag_x,tmag_y,tmag_z
4020308812,-56,-1712,-4768,-9408
4020309218,-57,-1552,-4656,-9552
4020309327,-57,-1552,-4656,-9552
4020309433,-57,-1552,-4672,-9552
4020309540,-58,-1552,-4672,-9552
4020309874,-59,-1504,-4608,-9648
4020310106,-61,-1392,-4592,-9680
4020310237,-61,-1392,-4592,-9680
4020310369,-62,-1392,-4592,-9680
4020310651,-64,-1392,-4592,-9680
4020310825,-65,-1264,-4752,-9712
4020310951,-66,-1264,-4752,-9712
4020311183,-67,-1248,-4672,-9728
4020311267,-69,-1248,-4672,-9728
4020311504,-69,-1440,-4592,-9760
4020311575,-72,-1440,-4592,-9760
4020311682,-71,-1264,-4656,-9776
4020311805,-71,-1264,-4656,-9776
4020311892,-71,-1264,-4656,-9776
4020312006,-70,-1104,-4560,-9872
4020312128,-69,-1104,-4560,-9872
4020312666,-68,-1088,-4768,-9936
4020312749,-67,-1088,-4768,-9936
4020312866,-66,-944,-4704,-10032
4020312948,-66,-944,-4704,-10032
4020313049,-64,-944,-4704,-10032
4020313134,-63,-944,-4704,-10032
4020313535,-63,-928,-4560,-10016
4020313662,-62,-928,-4560,-10016
4020313768,-62,-928,-4560,-10016
4020313857,-61,-864,-4784,-10096
4020313953,-61,-864,-4784,-10096
4020314040,-61,-864,-4784,-10096
4020314248,-61,-736,-4608,-10064
4020314386,-61,-832,-4672,-10176
4020314916,-60,-736,-4672,-10160
4020315028,-60,-576,-4624,-10176
4020315142,-60,-576,-4624,-10176
4020315230,-60,-576,-4624,-10176
4020315321,-60,-576,-4512,-10240
4020315444,-60,-576,-4512,-10240
4020315548,-60,-576,-4512,-10240
4020315681,-60,-496,-4624,-10288
4020315785,-60,-496,-4624,-10288
4020316051,-60,-448,-4576,-10336
4020316154,-60,-448,-4576,-10336
4020316271,-60,-416,-4560,-10352
4020317489,-61,-240,-4496,-10480
4020317591,-61,-240,-4496,-10480
4020318038,-75,-272,-4624,-10464
4020318126,-62,-272,-4624,-10464
4020318257,-63,-272,-4624,-10464
4020318347,-63,-272,-4624,-10464
4020318512,-63,-272,-4624,-10464
4020318614,-64,-272,-4624,-10464
4020318767,-64,-272,-4624,-10464
4020318868,-64,-272,-4624,-10464
4020321422,-65,496,-4464,-11136
4020321594,-65,496,-4464,-11136
4020321923,-65,656,-4432,-11184
4020322041,-65,624,-4400,-11296
4020322139,-65,624,-4400,-11296
4020322234,-65,624,-4400,-11296
4020322587,-65,832,-4208,-11328
4020322699,-65,944,-4256,-11360
4020322801,-65,944,-4256,-11360
4020322905,-65,944,-4256,-11360
4020322995,-65,848,-4176,-11536
4020323092,-66,848,-4176,-11536
4020323718,-67,1024,-4016,-11536
4020323829,-67,1072,-3984,-11680
4020323952,-68,1072,-3984,-11680
4020324020,-69,1072,-3984,-11680
4020324140,-69,1216,-4016,-11568
4020324236,-69,1216,-4016,-11568
4020324344,-69,1216,-4016,-11568
4020324475,-70,1296,-3968,-11712
4020324610,-70,1296,-3968,-11712
4020324745,-70,1456,-3664,-11824
4020324885,-71,1456,-3664,-11824
4020324993,-71,1456,-3664,-11824
4020325125,-71,1440,-3872,-11952
4020325249,-71,1440,-3872,-11952
4020325385,-71,1424,-3792,-11904
4020325530,-71,1424,-3792,-11904
4020325739,-70,1568,-3824,-11984
4020325858,-70,1568,-3824,-11984
4020325995,-69,1584,-3504,-12064
4020326132,-69,1584,-3504,-12064
4020326231,-68,1584,-3504,-12064
4020326349,-68,1680,-3680,-12064
4020326476,-68,1680,-3680,-12064
4020326603,-67,1616,-3408,-12128
4020326742,-69,1616,-3408,-12128
4020328288,-69,2208,-3024,-12512
4020328372,-65,2208,-2832,-12688
4020328481,-65,2208,-2832,-12688
4020328570,-66,2208,-2832,-12688
4020328685,-66,2288,-2848,-12768
4020328781,-66,2288,-2848,-12768
4020328872,-66,2288,-2848,-12768
4020328989,-66,2336,-2656,-12720
4020329137,-66,2336,-2656,-12720
4020329276,-67,2336,-2656,-12720
4020329399,-67,2432,-2448,-12880
4020329500,-67,2432,-2448,-12880
4020329641,-67,2288,-2432,-12880
4020329778,-66,2288,-2432,-12880
4020329898,-66,2512,-2368,-13056
4020330042,-66,2512,-2368,-13056
4020330129,-66,2512,-2368,-13056
4020330264,-65,2512,-2208,-13120
4020330378,-64,2512,-2208,-13120
4020330505,-64,2448,-1904,-13184
4020330655,-64,2448,-1904,-13184
4020330774,-52,3360,10,12536
4020330907,-52,3360,10,12536
4020331002,-52,3360,10,12536
4020331125,-53,3456,24586,-12039
4020331261,-53,3456,24586,-12039
4020331383,-53,3520,-28662,12537
4020331526,-53,3520,-28662,12537
4020331619,-53,3520,-28662,12537
4020331759,-53,3552,-24566,16634
4020331871,-53,3552,-24566,16634
4020332002,-54,3440,-12278,-12038
4020332145,-54,3440,-12278,-12038
4020332352,-54,3568,-20470,20731
4020332497,-54,3568,-20470,20731
4020332645,-57,2944,-1088,-13760
4020332771,-57,2944,-1088,-13760
4020332906,-57,2816,-880,-13904
4020333028,-56,2816,-880,-13904
4020333123,-56,2816,-880,-13904
4020335335,-56,2336,528,-14480
4020335459,-56,2336,528,-14480
4020335528,-56,2336,528,-14480
4020335636,-55,2128,848,-14528
4020335750,-55,2128,848,-14528
4020335824,-55,2128,848,-14528
4020335960,-55,2208,944,-14576
4020336098,-55,2208,944,-14576
4020336318,-55,2080,1248,-14592
4020336443,-55,2080,1248,-14592
4020336571,-55,1856,1248,-14704
4020336708,-55,1856,1248,-14704
4020336922,-55,1728,1456,-14688
4020337048,-55,1728,1456,-14688
4020337181,-55,1600,1520,-14704
4020337316,-55,1600,1520,-14704
4020337521,-55,1584,1904,-14752
4020337637,-55,1584,1904,-14752
4020337760,-55,1424,1872,-14672
4020337905,-55,1424,1872,-14672
4020338034,-55,1424,1872,-14672
4020338149,-55,1104,1888,-14736
4020338255,-55,1104,1888,-14736
4020338384,-55,1072,2192,-14688
4020338525,-55,1072,2192,-14688
4020338648,-55,864,2272,-14736
4020338765,-55,864,2272,-14736
4020338865,-55,864,2272,-14736
4020338987,-55,640,2528,-14720
4020339125,-55,640,2528,-14720
4020339253,-57,384,3440,16394
4020339398,-57,384,3440,16394
4020339496,-57,384,3440,16394
4020339611,-57,176,3488,4106
4020341949,-52,-1360,3392,-13936
4020342069,-52,-1360,3392,-13936
4020342272,-52,-1616,3488,-13776
4020342777,-72,-1824,3392,-13680
4020342878,-52,-2032,3200,-13616
4020343062,-52,-2032,3200,-13616
4020343261,-52,-2176,3440,-13456
4020343630,-52,-2304,3488,-13344
4020343782,-52,-2304,3488,-13344
4020343884,-52,-2304,3488,-13344
4020344037,-52,-2304,3488,-13344
4020344168,-52,-2624,3296,-13200
4020344354,-52,-2624,3296,-13200
4020344518,-52,-3184,3168,-12992
4020344667,-52,-3184,3168,-12992
4020344857,-52,-3312,3216,-12768
4020344974,-52,-3312,3216,-12768
4020345091,-52,-3552,3072,-12624
4020345327,-52,-3552,3072,-12624
4020345438,-52,-3728,2848,-12432
4020345540,-52,-3728,2848,-12432
4020345644,-53,-3728,2848,-12432
4020345769,-53,-3904,2816,-12448
4020345851,-53,-3904,2816,-12448
4020346302,-47,-4160,3536,10
4020346428,-47,-4160,3536,10
4020346511,-47,-4160,3536,10
4020346602,-53,-4304,2544,-11952
4020346716,-54,-4304,2544,-11952
4020346783,-54,-4304,2544,-11952
4020346934,-54,-4320,2464,-11824
4020347057,-54,-4320,2464,-11824
4020347176,-54,-4576,2288,-11680
4020347317,-54,-4576,2288,-11680
4020347418,-54,-4576,2288,-11680
4020347565,-55,-4752,2272,-11488
4020347662,-55,-4752,2272,-11488
4020347802,-55,-4832,2096,-11392
4020347937,-55,-4832,2096,-11392
4020348062,-55,-4832,2096,-11392
4020349262,-57,-5248,1616,-10928
4020349360,-58,-5248,1616,-10928
4020349508,-58,-5248,1616,-10928
4020349593,-58,-5248,1616,-10928
4020349754,-58,-5248,1616,-10928
4020349882,-58,-5248,1616,-10928
4020350010,-58,-5248,1616,-10928
4020350109,-58,-5248,1616,-10928
4020350257,-59,-5248,1616,-10928
4020350342,-59,-5248,1616,-10928
4020350502,-59,-5248,1616,-10928
4020350600,-59,-5248,1616,-10928
4020350749,-59,-5248,1616,-10928
4020350877,-59,-5248,1616,-10928
4020350975,-59,-5248,1616,-10928
4020351125,-59,-5248,1616,-10928
4020351211,-59,-5248,1616,-10928
4020351372,-60,-5248,1616,-10928
4020351459,-60,-5248,1616,-10928
4020351618,-60,-5248,1616,-10928
4020351704,-60,-5248,1616,-10928
4020351864,-60,-5248,1616,-10928
4020351950,-60,-5248,1616,-10928
4020352097,-60,-5248,1616,-10928
4020352207,-60,-5248,1616,-10928
4020352355,-60,-5248,1616,-10928
4020352440,-60,-5248,1616,-10928
4020352608,-60,-5248,1616,-10928
4020352686,-60,-5248,1616,-10928
4020352841,-60,-5248,1616,-10928
4020352913,-60,-5248,1616,-10928
4020353003,-60,-5248,1616,-10928
4020353206,-60,-5248,1616,-10928
4020353283,-60,-5248,1616,-10928
4020353451,-60,-5248,1616,-10928
4020353529,-60,-5248,1616,-10928
4020353685,-60,-5248,1616,-10928
4020353773,-60,-5248,1616,-10928
4020353933,-60,-5248,1616,-10928
4020354019,-60,-5248,1616,-10928
4020354178,-60,-5312,1280,-10752
4020354355,-61,-5312,1280,-10752
4020354487,-60,-5696,-848,-8992
4020354693,-61,-5696,-848,-8992
4020354833,-61,-5584,-1040,-8944
4020355037,-61,-5584,-1040,-8944
4020355150,-61,-5664,-1184,-8880
4020355247,-62,-5664,-1184,-8880
4020355351,-61,-5664,-1184,-8880
4020355420,-62,-5584,-1296,-8768
4020355560,-62,-5584,-1296,-8768
4020356012,-62,-5648,-1424,-8624
4020356133,-62,-5648,-1424,-8624
4020356213,-63,-5648,-1424,-8624
4020356303,-63,-5440,-1728,-8592
4020356426,-63,-5440,-1728,-8592
4020356513,-63,-5440,-1728,-8592
4020356632,-63,-5504,-1664,-8544
4020356751,-63,-5504,-1664,-8544
4020356886,-64,-5296,-1856,-8512
4020357033,-64,-5296,-1856,-8512
4020357165,-64,-5296,-1856,-8512
4020357293,-67,-5280,-2048,-8432
4020357364,-64,-5280,-2048,-8432
4020357481,-65,-5280,-2048,-8432
4020358496,-64,-5104,-2336,-8240
4020358599,-64,-5104,-2336,-8240
4020358679,-64,-5104,-2336,-8240
4020358770,-64,-4992,-2544,-8240
4020358887,-64,-4992,-2544,-8240
4020359007,-64,-4992,-2592,-8224
4020359129,-63,-4992,-2592,-8224
4020359241,-63,-4992,-2592,-8224
4020359361,-63,-4976,-2592,-8256
4020359494,-63,-4976,-2592,-8256
4020359624,-63,-4896,-2688,-8240
4020359754,-63,-4896,-2688,-8240
4020359861,-63,-4896,-2688,-8240
4020359982,-63,-4688,-2880,-8208
4020360098,-63,-4688,-2880,-8208
4020360231,-63,-4720,-2896,-8144
4020360368,-63,-4720,-2896,-8144
4020360474,-63,-4720,-2896,-8144
4020360592,-63,-4720,-2992,-8176
4020360707,-63,-4720,-2992,-8176
4020360844,-63,-4496,-3088,-8208
4020360981,-63,-4496,-3088,-8208
4020361102,-64,-4496,-3088,-8208
4020361220,-64,-4560,-3296,-8176
4020361330,-64,-4560,-3296,-8176
4020361455,-64,-4368,-3312,-8176
4020361599,-64,-4368,-3312,-8176
4020361729,-65,-4368,-3264,-8304
4020361870,-65,-4368,-3264,-8304
4020361957,-65,-4368,-3264,-8304
4020362098,-65,-4304,-3536,-8208
4020362222,-65,-4304,-3536,-8208
4020362343,-65,-4144,-3504,-8256
4020362476,-65,-4144,-3504,-8256
4020362582,-65,-4144,-3504,-8256
4020362703,-64,-4144,-3632,-8176
4020362829,-64,-4144,-3632,-8176
4020362938,-64,-3984,-3584,-8256
4020363063,-64,-3984,-3584,-8256
4020363143,-64,-3984,-3584,-8256
4020363253,-63,-3936,-3712,-8208
4020363393,-63,-3936,-3712,-8208
4020365719,-63,-3216,-4000,-8464
4020365829,-62,-3216,-4000,-8464
4020365923,-62,-3216,-4000,-8464
4020366011,-62,-3248,-4048,-8480
4020366123,-61,-3248,-4048,-8480
4020366197,-61,-3248,-4048,-8480
4020366336,-60,-3056,-4080,-8480
4020366456,-60,-3056,-4080,-8480
4020366572,-60,-3008,-4176,-8480
4020366716,-60,-3008,-4176,-8480
4020366817,-58,-3008,-4176,-8480
4020366936,-57,-2864,-4208,-8544
4020367055,-57,-2864,-4208,-8544
4020367182,-57,-2880,-4384,-8544
4020367323,-57,-2880,-4384,-8544
4020367449,-57,-2800,-4464,-8560
4020367566,-57,-2800,-4464,-8560
4020367669,-57,-2800,-4464,-8560
4020367801,-56,-2752,-4352,-8688
4020367940,-56,-2752,-4352,-8688
4020368059,-56,-2688,-4400,-8656
4020368193,-56,-2688,-4400,-8656
4020368300,-55,-2688,-4400,-8656
4020368423,-55,-2640,-4384,-8624
4020368546,-55,-2640,-4384,-8624
4020368677,-55,-2464,-4512,-8704
4020368823,-55,-2464,-4512,-8704
4020369038,-55,-2544,-4448,-8784
4020369163,-55,-2544,-4448,-8784
4020369302,-55,-2432,-4464,-8864
4020369445,-54,-2432,-4464,-8864
4020369565,-54,-2288,-4576,-8880
4020369682,-54,-2288,-4576,-8880
4020369791,-54,-2288,-4576,-8880
4020369912,-54,-2240,-4624,-8896
4020370050,-54,-2240,-4624,-8896
4020370172,-54,-2080,-4368,-8976
4020370279,-54,-2080,-4368,-8976
4020370375,-54,-2080,-4368,-8976
4020370498,-54,-2064,-4480,-8976
4020370620,-54,-2064,-4480,-8976
4020370694,-54,-2064,-4480,-8976
4020370820,-54,-2000,-4720,-9104
4020370936,-54,-2000,-4720,-9104
4020371031,-54,-2000,-4720,-9104
4020371124,-54,-2048,-4576,-9168
4020371252,-54,-2048,-4576,-9168
4020371346,-54,-2048,-4576,-9168
4020371455,-54,-1920,-4560,-9072
4020371562,-54,-1920,-4560,-9072
4020371668,-54,-1920,-4560,-9072
4020371762,-54,-1776,-4672,-9120
4020371871,-54,-1776,-4672,-9120
4020371986,-54,-1792,-4528,-9264
4020372092,-54,-1792,-4528,-9264
4020372184,-55,-1792,-4528,-9264
4020372297,-55,-1808,-4720,-9280
4020372428,-55,-1808,-4720,-9280
4020372510,-55,-1808,-4720,-9280
4020372631,-55,-1728,-4784,-9248
4020372764,-55,-1728,-4784,-9248
4020372855,-55,-1728,-4784,-9248
4020374566,-56,-1360,-4656,-9552
4020374637,-56,-1360,-4656,-9552
4020374744,-56,-1248,-4624,-9600
4020374863,-57,-1248,-4624,-9600
4020374940,-57,-1248,-4624,-9600
4020375044,-57,-1200,-4624,-9648
4020375181,-58,-1200,-4624,-9648
4020375323,-58,-1200,-4624,-9648
4020375432,-58,-1168,-4592,-9808
4020375560,-59,-1168,-4592,-9808
4020375694,-63,-1280,-4704,-9808
4020375835,-64,-1280,-4704,-9808
4020376056,-65,-1104,-4624,-9776
4020376174,-66,-1104,-4624,-9776
4020376297,-67,-1152,-4688,-9856
4020376438,-67,-1152,-4688,-9856
4020376553,-70,-1152,-4688,-9856
4020376653,-70,-1056,-4704,-9872
4020376766,-71,-1056,-4704,-9872
4020376899,-71,-944,-4704,-9968
4020377038,-71,-944,-4704,-9968
4020377167,-70,-944,-4704,-9968
4020377288,-69,-976,-4560,-9904
4020377399,-66,-976,-4560,-9904
4020377526,-65,-896,-4512,-10032
4020377659,-63,-896,-4512,-10032
4020377785,-63,-848,-4528,-10048
4020377931,-62,-848,-4528,-10048
4020378055,-62,-848,-4528,-10048
4020378181,-62,-768,-4592,-10096
4020378291,-62,-768,-4592,-10096
4020378422,-62,-736,-4608,-10064
4020380966,-60,-480,-4704,-10464
4020381036,-60,-480,-4704,-10464
4020381136,-60,-288,-4544,-10496
4020381247,-60,-288,-4544,-10496
4020381322,-60,-288,-4544,-10496
4020381428,-60,-304,-4560,-10464
4020381559,-60,-304,-4560,-10464
4020381718,-60,-272,-4432,-10496
4020381855,-60,-272,-4432,-10496
4020381949,-61,-272,-4432,-10496
4020382091,-61,-192,-4592,-10560
4020382210,-61,-192,-4592,-10560
4020382336,-61,-176,-4496,-10656
4020382447,-61,-176,-4496,-10656
4020382550,-61,-176,-4496,-10656
4020382669,-61,0,-4640,-10640
4020382794,-62,0,-4640,-10640
4020382928,-62,0,-4640,-10640
4020383042,-63,-64,-4496,-10720
4020383158,-64,-64,-4496,-10720
4020383281,-64,-80,-4368,-10720
4020383421,-64,-80,-4368,-10720
4020383542,-65,-80,-4368,-10720
4020383664,-65,-96,-4608,-10784
4020384347,-66,240,-4528,-10928
4020384443,-66,240,-4528,-10928
4020384591,-66,336,-4448,-10960
4020384696,-66,336,-4448,-10960
4020384820,-66,304,-4336,-10944
4020384958,-67,304,-4336,-10944
4020385080,-67,512,-4400,-11040
4020385233,-66,512,-4400,-11040
4020385320,-66,512,-4400,-11040
4020385457,-66,496,-4320,-11072
4020385576,-66,496,-4320,-11072
4020385712,-66,608,-4384,-11216
