local_timestamp,sender_timestamp,tmag_x,tmag_y,tmag_z,rssi,csi_len,csi_timestamp,csi_0_i,csi_0_q,csi_1_i,csi_1_q,csi_2_i,csi_2_q,csi_3_i,csi_3_q,csi_4_i,csi_4_q,csi_5_i,csi_5_q,csi_6_i,csi_6_q,csi_7_i,csi_7_q,csi_8_i,csi_8_q,csi_9_i,csi_9_q,csi_10_i,csi_10_q,csi_11_i,csi_11_q,csi_12_i,csi_12_q,csi_13_i,csi_13_q,csi_14_i,csi_14_q,csi_15_i,csi_15_q,csi_16_i,csi_16_q,csi_17_i,csi_17_q,csi_18_i,csi_18_q,csi_19_i,csi_19_q,csi_20_i,csi_20_q,csi_21_i,csi_21_q,csi_22_i,csi_22_q,csi_23_i,csi_23_q,csi_24_i,csi_24_q,csi_25_i,csi_25_q,csi_26_i,csi_26_q,csi_27_i,csi_27_q,csi_28_i,csi_28_q,csi_29_i,csi_29_q,csi_30_i,csi_30_q,csi_31_i,csi_31_q,csi_32_i,csi_32_q,csi_33_i,csi_33_q,csi_34_i,csi_34_q,csi_35_i,csi_35_q,csi_36_i,csi_36_q,csi_37_i,csi_37_q,csi_38_i,csi_38_q,csi_39_i,csi_39_q,csi_40_i,csi_40_q,csi_41_i,csi_41_q,csi_42_i,csi_42_q,csi_43_i,csi_43_q,csi_44_i,csi_44_q,csi_45_i,csi_45_q,csi_46_i,csi_46_q
846381374,42602837,-224,-592,112,-60,94,846381374,17,-19,19,-18,18,-18,13,-18,15,-18,14,-17,12,-17,11,-17,7,-18,5,-18,3,-20,5,-18,5,-19,4,-20,0,-19,0,-21,2,-21,-2,-21,0,-21,0,-21,0,-22,5,-20,5,-19,5,-19,2,-20,4,-19,0,0,0,0,25,-18,26,-17,26,-13,25,-18,26,-17,25,-13,25,-13,25,-13,23,-16,23,-16,21,-15,24,-15,24,-15,22,-15,24,-16,20,-18,21,-18,22,-19,19,-20
846381581,42603542,-64,-464,64,-60,94,846381581,-19,-21,-21,-15,-20,-15,-19,-18,-20,-13,-20,-10,-21,-8,-20,-7,-19,-8,-19,-11,-21,-9,-19,-3,-19,-2,-19,-1,-22,-3,-21,-3,-23,1,-24,-3,-23,-3,-22,-2,-24,-4,-21,0,-22,-2,-23,-3,-20,-8,-18,-8,0,0,0,0,-17,-27,-18,-25,-18,-27,-16,-31,-15,-30,-17,-27,-15,-26,-14,-24,-17,-27,-16,-26,-15,-26,-20,-24,-21,-22,-20,-20,-21,-18,-19,-24,-19,-22,-20,-20,-19,-25
846381671,42603542,-64,-464,64,-60,94,846381671,-4,28,-5,23,-4,24,0,25,-2,21,0,20,2,19,2,18,5,21,6,19,7,20,5,16,7,16,8,16,11,19,13,19,13,10,15,13,19,14,19,12,19,13,19,13,10,16,8,15,7,17,7,20,7,20,0,0,0,0,-9,31,-11,31,-11,27,-13,31,-13,30,-12,25,-13,25,-12,25,-10,28,-11,29,-10,27,-9,25,-7,26,-7,25,-6,26,-6,28,-7,26,-7,26
846382341,42603815,-96,-544,48,-60,94,846382341,6,-28,6,-23,7,-24,3,-25,6,-22,3,-20,2,-20,2,-19,-3,-21,-5,-20,-7,-20,-4,-18,-5,-16,-7,-18,-11,-19,-12,-21,-9,-17,-12,-20,-12,-21,-12,-19,-11,-21,-7,-18,-7,-17,-7,-18,-8,-20,-7,-21,0,0,0,0,15,-29,15,-28,16,-24,16,-29,16,-29,16,-24,16,-24,15,-23,14,-26,14,-28,12,-26,13,-25,12,-24,12,-24,11,-26,9,-27,11,-25,9,-27,7,-28
846383093,42603984,144,-592,48,-60,94,846383093,0,29,-1,25,0,24,3,26,1,21,1,20,2,20,3,18,6,21,8,19,11,18,9,14,11,14,11,14,14,17,15,17,14,14,16,17,14,19,14,18,14,19,13,10,15,11,15,11,14,12,18,13,10,19,0,0,0,0,-10,32,-11,32,-9,29,-9,33,-9,32,-9,28,-9,27,-9,26,-8,31,-8,29,-7,29,-6,26,-7,27,-7,27,-5,27,-5,30,-2,27,-2,28
846383196,42603984,144,-592,48,-60,94,846383196,14,-18,19,-20,16,-18,14,-20,14,-18,12,-19,7,-20,8,-20,3,-17,4,-20,5,-19,7,-19,5,-19,3,-19,-1,-20,-2,-19,2,-24,-3,-20,-5,-20,-5,-20,-4,-21,-1,-20,4,-22,6,-21,3,-18,2,-17,0,0,0,0,22,-20,22,-20,30,-14,29,-12,27,-12,27,-9,25,-8,23,-11,24,-16,21,-14,23,-15,23,-14,21,-19,20,-19,19,-20,21,-19,25,-15,24,-17,17,-17
846383350,42604231,144,-592,48,-60,94,846383350,-23,-6,-31,-3,-23,-1,-24,-3,-19,0,-23,0,-23,0,-20,2,-19,1,-19,2,-16,3,-17,6,-21,13,-17,7,-17,13,10,-13,7,-22,12,-13,7,-16,8,-19,7,-18,7,-22,9,-22,8,-18,8,-17,6,-17,4,0,0,0,0,-27,-10,-29,-12,-32,-13,-25,-10,-27,-10,-30,-12,-31,-12,-25,-10,-29,-10,-22,-9,-27,-11,-24,-7,-27,-8,-27,-9,-30,-8,-28,-9,-28,-4,-30,-4,-25
846383439,42604231,144,-592,48,-60,94,846383439,6,28,5,22,4,22,6,24,4,19,6,18,7,17,7,15,13,10,19,12,17,12,15,13,10,13,14,12,12,8,16,15,18,15,16,11,18,14,18,15,17,15,17,15,14,12,13,11,13,12,13,16,13,16,0,0,0,0,-1,32,-2,33,-2,28,-3,33,-3,31,-2,28,-2,28,-2,27,-2,30,-2,30,-1,28,0,27,1,26,0,26,1,26,2,29,3,26,4,26
846383603,42604384,144,-592,48,-60,94,846383603,13,26,14,19,15,19,13,21,14,17,14,15,15,13,15,11,15,14,15,14,17,12,17,7,18,6,19,5,18,9,21,9,20,5,21,9,20,9,20,9,19,13,10,20,6,19,7,19,8,17,12,16,12,0,0,0,0,9,30,9,31,9,29,7,32,8,32,9,29,8,28,9,28,8,28,8,30,8,28,11,26,11,26,11,25,13,24,13,10,27,13,24,14,24
846383735,42604700,144,-592,48,-60,94,846383735,16,24,15,17,16,18,15,19,15,15,15,13,15,12,15,13,10,17,12,17,11,19,9,17,4,18,3,19,2,19,7,21,6,20,2,23,6,21,7,21,7,22,7,20,4,19,3,19,3,18,8,18,9,0,0,0,0,11,30,13,10,31,11,27,11,31,13,10,30,11,27,12,27,13,10,27,13,10,27,13,10,28,13,10,26,13,25,12,24,12,23,13,23,13
