Index,Timestamp_US,RSSI,Smoothed_RSSI
0,66092959,-56,-56
1,66093059,-56,-56
2,66093159,-56,-56
3,66093259,-56,-56
4,66093359,-56,-56
5,66093459,-56,-56
6,66093559,-56,-56
7,66093659,-56,-56
8,66093759,-56,-56
9,66093859,-56,-56
10,66093959,-56,-56
11,66094059,-56,-56
12,66094159,-56,-56
13,66094259,-56,-56
14,66094359,-56,-56
15,66094459,-56,-56
16,66094559,-56,-56
17,66094659,-56,-56
18,66094759,-56,-56
19,66094859,-56,-56
20,66094959,-56,-56
21,66095059,-56,-56
22,66095159,-56,-56
23,66095259,-56,-56
24,66095359,-56,-56
25,66095459,-56,-56
26,66095559,-56,-56
27,66095659,-56,-56
28,66095759,-56,-56
29,66095859,-56,-56
30,66095959,-56,-56
31,66096059,-56,-56
32,66096159,-56,-56
33,66096259,-56,-56
34,66096359,-56,-56
35,66096459,-56,-56
36,66096559,-56,-56
37,66096659,-56,-56
38,66096759,-56,-56
39,66096859,-57,-56
40,66096959,-57,-56
41,66097059,-57,-56
42,66097159,-57,-56
43,66097259,-57,-56
44,66097359,-57,-56
45,66097459,-57,-56
46,66097559,-57,-56
47,66097659,-57,-56
48,66097759,-57,-56
49,66097859,-57,-56
50,66097959,-57,-56
51,66098059,-57,-56
52,66098159,-57,-56
53,66098259,-58,-56
54,66098359,-58,-56
55,66098459,-58,-57
56,66098559,-58,-57
57,66098659,-58,-57
58,66098759,-58,-57
59,66098859,-58,-57
60,66098959,-58,-57
61,66099059,-59,-57
62,66099159,-59,-57
63,66099259,-59,-57
64,66099359,-59,-57
65,66099459,-59,-57
66,66099559,-59,-58
67,66099659,-59,-58
68,66099759,-59,-58
69,66099859,-59,-58
70,66099959,-59,-58
71,66100059,-59,-58
72,66100159,-60,-58
73,66100259,-60,-58
74,66100359,-60,-58
75,66100459,-60,-58
76,66100559,-60,-59
77,66100659,-60,-59
78,66100759,-60,-59
79,66100859,-60,-59
80,66100959,-61,-59
81,66101059,-61,-59
82,66101159,-61,-59
83,66101259,-61,-59
84,66101359,-61,-59
85,66101459,-61,-60
86,66101559,-61,-60
87,66101659,-62,-60
88,66101759,-62,-60
89,66101859,-62,-60
90,66101959,-62,-60
91,66102059,-62,-60
92,66102159,-62,-60
93,66102259,-62,-61
94,66102359,-62,-61
95,66102459,-62,-61
96,66102559,-61,-61
97,66102659,-61,-61
98,66102759,-61,-61
99,66102859,-63,-61
100,66102959,-63,-61
101,66103059,-63,-61
102,66103159,-63,-61
103,66103259,-63,-61
104,66103359,-63,-62
105,66103459,-63,-62
106,66103559,-63,-62
107,66103659,-63,-62
108,66103759,-63,-62
109,66103859,-63,-62
110,66103959,-63,-62
111,66104059,-63,-62
112,66104159,-63,-62
113,66104259,-63,-62
114,66104359,-63,-62
115,66104459,-63,-62
116,66104559,-62,-62
117,66104659,-63,-62
118,66104759,-63,-62
119,66104859,-63,-62
120,66104959,-63,-62
121,66105059,-63,-62
122,66105159,-63,-62
123,66105259,-61,-62
124,66105359,-63,-62
125,66105459,-61,-62
126,66105559,-61,-62
127,66105659,-62,-62
128,66105759,-62,-62
129,66105859,-62,-62
130,66105959,-61,-62
131,66106059,-61,-62
132,66106159,-61,-62
133,66106259,-61,-62
134,66106359,-61,-62
135,66106459,-61,-61
136,66106559,-61,-61
137,66106659,-61,-61
138,66106759,-61,-61
139,66106859,-61,-61
140,66106959,-61,-61
141,66107059,-61,-61
142,66107159,-61,-61
143,66107259,-61,-61
144,66107359,-61,-61
145,66107459,-61,-61
146,66107559,-61,-61
147,66107659,-61,-61
148,66107759,-61,-61
149,66107859,-61,-61
150,66107959,-61,-61
151,66108059,-61,-61
152,66108159,-60,-60
153,66108259,-60,-60
154,66108359,-60,-60
155,66108459,-60,-60
156,66108559,-60,-60
157,66108659,-60,-60
158,66108759,-60,-60
159,66108859,-60,-60
160,66108959,-60,-60
161,66109059,-60,-60
162,66109159,-60,-60
163,66109259,-60,-60
164,66109359,-60,-60
165,66109459,-60,-60
166,66109559,-60,-60
167,66109659,-60,-60
168,66109759,-60,-60
169,66109859,-60,-60
170,66109959,-60,-60
171,66110059,-59,-59
172,66110159,-59,-59
173,66110259,-59,-59
174,66110359,-59,-59
175,66110459,-59,-59
176,66110559,-59,-59
177,66110659,-59,-59
178,66110759,-59,-59
179,66110859,-59,-59
180,66110959,-59,-59
181,66111059,-59,-59
182,66111159,-59,-59
183,66111259,-59,-59
184,66111359,-59,-59
185,66111459,-59,-59
186,66111559,-59,-59
