Index,Timestamp_US,RSSI,Smoothed_RSSI
0,36569884,-47,-47
1,36569984,-47,-47
2,36570084,-47,-47
3,36570184,-47,-47
4,36570284,-47,-47
5,36570384,-47,-47
6,36570484,-47,-47
7,36570584,-47,-47
8,36570684,-47,-47
9,36570784,-47,-47
10,36570884,-47,-47
11,36570984,-47,-47
12,36571084,-47,-47
13,36571184,-47,-47
14,36571284,-47,-47
15,36571384,-47,-47
16,36571484,-47,-47
17,36571584,-47,-47
18,36571684,-47,-47
19,36571784,-47,-47
20,36571884,-47,-47
21,36571984,-47,-47
22,36572084,-47,-47
23,36572184,-47,-47
24,36572284,-47,-47
25,36572384,-47,-47
26,36572484,-47,-47
27,36572584,-47,-47
28,36572684,-47,-47
29,36572784,-47,-47
30,36572884,-47,-47
31,36572984,-47,-47
32,36573084,-47,-47
33,36573184,-47,-47
34,36573284,-47,-47
35,36573384,-47,-47
36,36573484,-47,-47
37,36573584,-47,-47
38,36573684,-47,-47
39,36573784,-47,-47
40,36573884,-47,-47
41,36573984,-47,-47
42,36574084,-47,-47
43,36574184,-47,-47
44,36574284,-47,-47
45,36574384,-47,-47
46,36574484,-47,-47
47,36574584,-47,-47
48,36574684,-47,-47
49,36574784,-47,-47
50,36574884,-47,-47
51,36574984,-47,-47
52,36575084,-47,-47
53,36575184,-47,-47
54,36575284,-47,-47
55,36575384,-47,-47
56,36575484,-47,-47
57,36575584,-47,-47
58,36575684,-47,-47
59,36575784,-47,-47
60,36575884,-47,-47
61,36575984,-47,-47
62,36576084,-47,-47
63,36576184,-47,-47
64,36576284,-47,-47
65,36576384,-47,-47
66,36576484,-47,-47
67,36576584,-47,-47
68,36576684,-47,-47
69,36576784,-47,-47
70,36576884,-47,-47
71,36576984,-47,-47
72,36577084,-47,-47
73,36577184,-47,-47
74,36577284,-47,-47
75,36577384,-47,-47
76,36577484,-47,-47
77,36577584,-47,-47
78,36577684,-47,-47
79,36577784,-47,-47
80,36577884,-47,-47
81,36577984,-47,-47
82,36578084,-47,-47
83,36578184,-47,-47
84,36578284,-47,-47
85,36578384,-47,-47
86,36578484,-47,-47
87,36578584,-47,-47
88,36578684,-47,-47
89,36578784,-47,-47
90,36578884,-47,-47
91,36578984,-47,-47
92,36579084,-47,-47
93,36579184,-47,-47
94,36579284,-47,-47
95,36579384,-47,-47
96,36579484,-47,-47
97,36579584,-47,-47
98,36579684,-47,-47
99,36579784,-47,-47
100,36579884,-47,-47
101,36579984,-47,-47
102,36580084,-47,-47
103,36580184,-47,-47
104,36580284,-47,-47
105,36580384,-47,-47
106,36580484,-47,-47
107,36580584,-47,-47
108,36580684,-47,-47
109,36580784,-47,-47
110,36580884,-47,-47
111,36580984,-47,-47
112,36581084,-47,-47
113,36581184,-47,-47
114,36581284,-47,-47
115,36581384,-47,-47
116,36581484,-47,-47
117,36581584,-47,-47
118,36581684,-47,-47
119,36581784,-47,-47
120,36581884,-47,-47
121,36581984,-47,-47
122,36582084,-47,-47
123,36582184,-47,-47
124,36582284,-47,-47
125,36582384,-47,-47
126,36582484,-47,-47
127,36582584,-47,-47
128,36582684,-47,-47
129,36582784,-47,-47
130,36582884,-47,-47
131,36582984,-47,-47
132,36583084,-47,-47
133,36583184,-47,-47
134,36583284,-47,-47
135,36583384,-47,-47
136,36583484,-47,-47
137,36583584,-47,-47
138,36583684,-47,-47
139,36583784,-47,-47
140,36583884,-47,-47
141,36583984,-47,-47
142,36584084,-47,-47
143,36584184,-47,-47
144,36584284,-47,-47
145,36584384,-47,-47
146,36584484,-47,-47
147,36584584,-47,-47
148,36584684,-47,-47
149,36584784,-47,-47
150,36584884,-47,-47
151,36584984,-47,-47
152,36585084,-47,-47
153,36585184,-47,-47
154,36585284,-47,-47
155,36585384,-47,-47
156,36585484,-47,-47
157,36585584,-47,-47
158,36585684,-47,-47
159,36585784,-47,-47
160,36585884,-47,-47
161,36585984,-47,-47
162,36586084,-47,-47
163,36586184,-47,-47
164,36586284,-47,-47
165,36586384,-47,-47
166,36586484,-47,-47
167,36586584,-47,-47
168,36586684,-47,-47
169,36586784,-47,-47
170,36586884,-47,-47
171,36586984,-47,-47
172,36587084,-47,-47
173,36587184,-47,-47
174,36587284,-47,-47
175,36587384,-47,-47
176,36587484,-47,-47
177,36587584,-47,-47
178,36587684,-47,-47
179,36587784,-47,-47
180,36587884,-47,-47
181,36587984,-47,-47
182,36588084,-47,-47
183,36588184,-47,-47
184,36588284,-47,-47
185,36588384,-47,-47
186,36588484,-47,-47
187,36588584,-47,-47
188,36588684,-47,-47
189,36588784,-46,-46
190,36588884,-46,-46
191,36588984,-47,-46
192,36589084,-46,-46
193,36589184,-47,-46
194,36589284,-47,-46
195,36589384,-47,-46
196,36589484,-47,-46
197,36589584,-47,-46
198,36589684,-47,-46
199,36589784,-47,-46
200,36589884,-47,-46
201,36589984,-47,-46
202,36590084,-47,-46
203,36590184,-47,-46
204,36590284,-47,-46
205,36590384,-47,-46
206,36590484,-47,-46
207,36590584,-47,-46
208,36590684,-47,-46
209,36590784,-47,-46
210,36590884,-47,-46
211,36590984,-47,-46
212,36591084,-47,-47
213,36591184,-47,-47
214,36591284,-47,-47
215,36591384,-47,-47
216,36591484,-47,-47
217,36591584,-47,-47
218,36591684,-47,-47
219,36591784,-47,-47
220,36591884,-47,-47
221,36591984,-47,-47
222,36592084,-47,-47
223,36592184,-47,-47
224,36592284,-47,-47
225,36592384,-47,-47
226,36592484,-47,-47
227,36592584,-47,-47
228,36592684,-47,-47
229,36592784,-47,-47
230,36592884,-47,-47
231,36592984,-47,-47
232,36593084,-47,-47
233,36593184,-47,-47
234,36593284,-47,-47
235,36593384,-47,-47
236,36593484,-47,-47
237,36593584,-47,-47
238,36593684,-47,-47
239,36593784,-47,-47
240,36593884,-47,-47
241,36593984,-47,-47
242,36594084,-47,-47
243,36594184,-47,-47
244,36594284,-47,-47
245,36594384,-47,-47
246,36594484,-47,-47
247,36594584,-47,-47
248,36594684,-47,-47
